Cost_Billion_Dollars,Name,Country,Reactor_Type,Gross_Capacity_MWe,Thermal_Capacity_MWt,Efficiency_Percentage,Starting_Year,Duration,Average_Inflation_Percentage,Average_Concrete_Price,Average_Steel_Price
1.261,ANO-1,UNITED STATES OF AMERICA,PWR,903,2568,35.16,1968,6,0.0488,37.123333,34.33333333
1.261,ANO-2,UNITED STATES OF AMERICA,PWR,1065,3026,35.19,1968,10,0.0616,41.7,44.7
4.26,BEAVER VALLEY-1,UNITED STATES OF AMERICA,PWR,959,2900,33.07,1970,6,0.066,44.66237,42.66666667
4.26,BEAVER VALLEY-2,UNITED STATES OF AMERICA,PWR,958,2900,33.03,1974,13,0.0721,83.84615385,84.38461538
0.027,BIG ROCK POINT,UNITED STATES OF AMERICA,BWR,71,240,29.58,1960,2,0.0126,30.0,28.0
2.2,BRAIDWOOD-1,UNITED STATES OF AMERICA,PWR,1270,3645,34.84,1975,12,0.0689,86.66666667,87.08333333
2.2,BRAIDWOOD-2,UNITED STATES OF AMERICA,PWR,1230,3645,33.74,1975,13,0.0664,88.23076923,88.38461538
1.086,BROWNS FERRY-1,UNITED STATES OF AMERICA,BWR,1256,3458,36.32,1967,6,0.0431,35.43,32.5
1.086,BROWNS FERRY-2,UNITED STATES OF AMERICA,BWR,1259,3458,36.41,1967,7,0.0458,31.237,33.57142857
1.086,BROWNS FERRY-3,UNITED STATES OF AMERICA,BWR,1260,3458,36.44,1968,8,0.0616,43.625,39.625
1.245,BRUNSWICK-1,UNITED STATES OF AMERICA,BWR,990,2923,33.87,1970,6,0.066,44.9867,42.66666667
1.245,BRUNSWICK-2,UNITED STATES OF AMERICA,BWR,960,2923,32.84,1970,5,0.0609,38.3,39.4
2.25,BYRON-1,UNITED STATES OF AMERICA,PWR,1242,3645,34.07,1975,10,0.0775,82.6,84.0
2.25,BYRON-2,UNITED STATES OF AMERICA,PWR,1210,3645,33.2,1975,12,0.0689,86.66666667,87.08333333
5.919,CALLAWAY-1,UNITED STATES OF AMERICA,PWR,1275,3565,35.76,1975,9,0.0814,80.22222222,81.66666667
1.103,CALVERT CLIFFS-1,UNITED STATES OF AMERICA,PWR,918,2737,33.54,1968,6,0.0488,35.96,34.33333333
1.103,CALVERT CLIFFS-2,UNITED STATES OF AMERICA,PWR,911,2737,33.28,1968,8,0.0616,38.275,39.625
3.3,CATAWBA-1,UNITED STATES OF AMERICA,PWR,1188,3411,34.83,1974,11,0.0804,79.63636364,81.09090909
3.3,CATAWBA-2,UNITED STATES OF AMERICA,PWR,1188,3411,34.83,1974,12,0.0766,81.91666667,83.0
4.25,CLINTON-1,UNITED STATES OF AMERICA,BWR,1098,3473,31.62,1975,12,0.0689,86.66666667,87.08333333
6.392,COLUMBIA,UNITED STATES OF AMERICA,BWR,1190,3486,34.14,1972,12,0.0779,71.33333333,72.0
